RPM,MAP,Spark Knock R,Spark Knock F,
2848,21,0,0,
2853,21,0,0,
2834,23.58,0,0,
2856,25.43,0,0,
2863,26.17,0,0,
2879,27.27,0,0,
2830,28.01,0,0,
2833,28.38,0,0,
2827,28.01,0,0,
2843,28.38,0,0,
2832,28.38,0,0,
2822,28.01,0,0,
2817,27.64,0,0,
2798,28.01,0,0,
2806,28.01,0,0,
2832,28.38,0,0,
2811,28.01,0,0,
2807,28.38,0,0,
2806,28.38,0,0,
2813,27.64,0,0,
2806,28.01,0,0,
2802,28.01,0,0,
2812,28.01,0,0,
2788,26.9,0,0,
2789,23.95,0,0,
2753,23.22,0,0,
2733,23.22,0,0,
2798,22.48,0,0,
2788,22.11,0,0,
2770,21.74,0,0,
2769,21.37,0,0,
2771,22.48,0,0,
2753,24.69,0,0,
2751,24.69,0,0,
2764,25.06,0,0,
2760,25.06,0,0,
2754,25.06,0,0,
2740,25.06,0,0,
2746,25.06,0,0,
2742,25.06,0,0,
2752,25.06,0,0,
2725,25.43,0,0,
2711,26.17,0,0,
2724,26.9,0,0,
2774,29.49,0,0,
2757,31.7,0,0,
2728,32.44,0,0,
2750,32.07,0,0,
2735,32.44,0,0,
2751,32.81,0,0,
2753,36.13,0,0,
2760,39.45,0,0,
2763,41.3,0,0,
2770,42.03,0,0,
2775,42.77,0,0,
2790,44.25,0,0,
2796,45.35,0,0,
2804,46.09,0,0,
2809,46.46,0,0,
2816,46.46,0,0,
2829,46.46,0,0,
2837,46.09,0,0,
2840,46.09,0,0,
2846,46.09,0,0,
2858,46.09,0,0,
2860,46.09,0,0,
2869,46.09,0,0,
2883,45.35,0,0,
2888,45.35,0,0,
2901,44.99,0,0,
2903,44.99,0,0,
2919,44.25,0,0,
2917,44.62,0,0,
2933,44.25,0,0,
2938,43.88,0,0,
2946,44.62,0,0,
2955,44.62,0,0,
2967,43.88,0,0,
2970,43.88,0,0,
2980,43.88,0,0,
2980,43.14,0,0,
2999,42.77,0,0,
2999,42.77,0,0,
3003,42.4,0,0,
3017,41.67,0,0,
3021,41.3,0,0,
3026,40.56,0,0,
3031,40.93,0,0,
3035,40.93,0,0,
3042,40.56,0,0,
3053,40.56,0,0,
3054,40.56,0,0,
3059,40.19,0,0,
3072,40.19,0,0,
3071,39.45,0,0,
3078,39.45,0,0,
3084,39.45,0,0,
3089,39.08,0,0,
3090,39.08,0,0,
3097,39.08,0,0,
3102,38.71,0,0,
3092,38.71,0,0,
3107,38.71,0,0,
3117,38.71,0,0,
3119,38.34,0,0,
3126,38.34,0,0,
3132,37.97,0,0,
3127,37.97,0,0,
3144,37.97,0,0,
3135,37.97,0,0,
3152,37.97,0,0,
3152,37.97,0,0,
3157,37.97,0,0,
3163,37.97,0,0,
3168,37.97,0,0,
3172,37.61,0,0,
3178,37.97,0,0,
3178,37.97,0,0,
3181,37.97,0,0,
3190,37.61,0,0,
3191,37.24,0,0,
3196,37.24,0,0,
3198,37.61,0,0,
3210,37.24,0,0,
3206,37.24,0,0,
3213,37.24,0,0,
3208,37.24,0,0,
3226,36.87,0,0,
3221,37.24,0,0,
3229,37.24,0,0,
3220,37.24,0,0,
3237,36.87,0,0,
3233,37.24,0,0,
3242,36.87,0,0,
3243,37.24,0,0,
3244,36.87,0,0,
3257,36.87,0,0,
3252,36.87,0,0,
3266,36.87,0,0,
3262,36.87,0,0,
3262,36.13,0,0,
3266,33.92,0,0,
3270,33.92,0,0,
3260,33.55,0,0,
3284,33.18,0,0,
3267,33.18,0,0,
3278,32.81,0,0,
3270,33.18,0,0,
3272,32.81,0,0,
3276,32.81,0,0,
3285,32.81,0,0,
3270,33.55,0,0,
3286,33.18,0,0,
3278,33.18,0,0,
3289,33.18,0,0,
3286,32.81,0,0,
3290,33.18,0,0,
3293,32.81,0,0,
3290,33.18,0,0,
3298,32.81,0,0,
3290,33.18,0,0,
3295,32.81,0,0,
3295,33.18,0,0,
3294,33.18,0,0,
3299,32.81,0,0,
3292,33.18,0,0,
3308,32.81,0,0,
3297,33.18,0,0,
3307,32.81,0,0,
3294,33.18,0,0,
3305,33.18,0,0,
3307,32.81,0,0,
3299,33.18,0,0,
